rollout/ep_rew_mean,time/total_timesteps
-44.453342466742875,0.0
290.1431477933235,5025.125628140703
244.1736879340117,10050.251256281406
220.7244283984664,15075.376884422109
461.54248682414254,20100.502512562813
508.99198761902653,25125.628140703517
447.46617638744357,30150.753768844217
358.6067241523954,35175.87939698492
724.97652722654,40201.005025125625
540.3308800169449,45226.13065326633
663.9855271243161,50251.25628140703
632.4357204444653,55276.38190954774
530.5230728824305,60301.507537688434
396.6595750175047,65326.63316582914
368.21880847739385,70351.75879396984
335.8144534803067,75376.88442211055
586.3492657785828,80402.01005025125
568.1131240654171,85427.13567839195
717.8579250948145,90452.26130653266
647.6558502693335,95477.38693467336
656.393195777874,100502.51256281407
800.8614038802466,105527.63819095476
623.7594862900681,110552.76381909547
742.0494477564796,115577.88944723617
530.3088173553857,120603.01507537687
741.6175732437259,125628.14070351758
456.9706592998479,130653.26633165828
490.79320933322015,135678.391959799
1032.7862611171483,140703.51758793968
373.1199845151658,145728.64321608038
618.3642260424974,150753.7688442211
1174.86300385983,155778.8944723618
1086.3809827323414,160804.0201005025
1334.9385943988973,165829.1457286432
949.9219906417011,170854.2713567839
689.0022504396418,175879.39698492462
719.3168565651523,180904.52261306532
877.6230314687931,185929.648241206
1262.567687684032,190954.7738693467
947.7943197802567,195979.89949748744
1353.3082759169208,201005.02512562813
985.5817142975802,206030.15075376883
573.5366523416085,211055.27638190953
1838.1533009690586,216080.40201005022
1556.5717685272107,221105.52763819095
1564.0457206681128,226130.65326633165
896.1955618387153,231155.77889447234
1616.2486425498455,236180.90452261304
2225.3278045456113,241206.03015075374
2084.902507089415,246231.15577889446
1802.7191710163981,251256.28140703516
2175.301989904135,256281.40703517586
1757.3680063262386,261306.53266331655
2788.656625581515,266331.6582914573
2042.117498467035,271356.783919598
2992.7862509217357,276381.9095477387
1581.5528836442477,281407.03517587937
2690.8490960624463,286432.16080402007
2023.651227674735,291457.28643216076
2440.1161311902333,296482.41206030146
2028.3928022028315,301507.5376884422
2973.566838237818,306532.6633165829
1738.1630707830864,311557.7889447236
2599.9653659482437,316582.9145728643
2855.639011617364,321608.040201005
2391.0149004116233,326633.1658291457
2435.613407539027,331658.2914572864
2897.709452372977,336683.4170854271
2525.698591260551,341708.5427135678
3317.145805477471,346733.66834170854
3433.108959324401,351758.79396984924
2356.7647313380453,356783.91959798994
2790.032332864098,361809.04522613063
2804.247038622513,366834.17085427133
3439.019533358233,371859.296482412
2104.7597711777785,376884.4221105527
2870.8909878356394,381909.5477386934
2513.289649963343,386934.6733668341
2005.032070018599,391959.7989949749
1552.3150058425485,396984.92462311557
2356.22060519746,402010.05025125627
3356.2085059602855,407035.17587939696
3833.657957688247,412060.30150753766
2414.513816405087,417085.42713567836
3210.739059362351,422110.55276381905
3118.976468008044,427135.67839195975
3611.5600305064736,432160.80402010045
3671.4131050446304,437185.9296482412
3842.5239488428683,442211.0552763819
3567.242344363367,447236.1809045226
2120.856118551526,452261.3065326633
2090.083810583686,457286.432160804
4192.662858494913,462311.5577889447
3504.0950806683563,467336.6834170854
4037.030003997044,472361.8090452261
3961.909380185537,477386.9346733668
3614.523470949663,482412.0603015075
3625.094991222012,487437.1859296482
4146.066166930266,492462.3115577889
3616.9293281829755,497487.4371859296
4497.345419405161,502512.5628140703
4605.020342371013,507537.688442211
4040.767167346245,512562.8140703517
3813.9882209733214,517587.9396984924
4337.005548767391,522613.0653266331
4561.737010196648,527638.1909547738
4048.4539471302824,532663.3165829146
4304.165114156451,537688.4422110552
3902.258676080494,542713.567839196
4061.6924931338167,547738.6934673366
4105.834457562239,552763.8190954773
3922.6319727119544,557788.9447236181
4305.964706409034,562814.0703517587
3504.4512896546707,567839.1959798995
