rollout/ep_rew_mean,time/total_timesteps
-197.81788494748702,0.0
170.60840621702388,5050.50505050505
1108.9457462836212,10101.0101010101
1474.049219491534,15151.515151515152
1964.5068255082726,20202.0202020202
2501.943660396335,25252.52525252525
2787.4702650895956,30303.030303030304
3131.1375533490555,35353.53535353535
3059.6502720133876,40404.0404040404
3301.809324110821,45454.545454545456
4026.4672612210024,50505.0505050505
4408.177108746315,55555.555555555555
4846.845444856344,60606.06060606061
4644.924980639253,65656.56565656565
4839.870162160769,70707.0707070707
4832.2500604792085,75757.57575757576
5217.572359792308,80808.0808080808
5290.476580735247,85858.58585858585
5614.363515077232,90909.09090909091
5603.387015192863,95959.59595959596
5501.870769408457,101010.101010101
6048.841792442609,106060.60606060606
6379.818605766073,111111.11111111111
6344.929369748332,116161.61616161616
6056.317990259637,121212.12121212122
5867.605397135437,126262.62626262626
6369.746476015475,131313.1313131313
6560.319941854148,136363.63636363635
5919.909590666491,141414.1414141414
6657.933617577486,146464.64646464647
6913.8587976586,151515.15151515152
6372.609047832377,156565.65656565657
7088.52741237586,161616.1616161616
7072.334078673152,166666.66666666666
7522.353892833451,171717.1717171717
6771.827527387196,176767.67676767675
7172.452522831851,181818.18181818182
7664.633154741187,186868.68686868687
7644.543019957169,191919.19191919192
7556.887402440583,196969.69696969696
7496.526780381054,202020.202020202
8015.509141844292,207070.70707070705
7820.508480275139,212121.21212121213
7606.268237066848,217171.71717171717
8011.575302534175,222222.22222222222
8051.673707611939,227272.72727272726
7860.478621655612,232323.2323232323
8098.5319730367455,237373.73737373736
7960.671892075955,242424.24242424243
7877.457664051351,247474.74747474748
8450.740996824668,252525.25252525252
8148.92793648035,257575.75757575757
8254.041317722858,262626.2626262626
8282.69446875877,267676.76767676766
7947.864438291106,272727.2727272727
8599.953000201345,277777.77777777775
8456.066799881482,282828.2828282828
8670.765533556025,287878.78787878784
8633.208284764367,292929.29292929295
8677.675755476701,297979.797979798
8802.119483545366,303030.30303030304
8900.194653972703,308080.8080808081
8970.254704174587,313131.31313131313
8133.011413516931,318181.8181818182
8971.014284556946,323232.3232323232
8922.176602879072,328282.82828282827
8886.540096835535,333333.3333333333
9159.69204137137,338383.83838383836
8946.629780440573,343434.3434343434
9188.306427564892,348484.84848484845
9163.375215065165,353535.3535353535
9251.285273685582,358585.8585858586
9073.312360505817,363636.36363636365
9485.981219492685,368686.8686868687
8862.84725974208,373737.37373737374
9370.864587577917,378787.8787878788
8885.6345494784,383838.38383838383
9002.967707739377,388888.8888888889
9371.119280148996,393939.3939393939
9700.426030279257,398989.89898989897
9357.717304411171,404040.404040404
9449.481654805382,409090.90909090906
9642.742787636,414141.4141414141
9334.487427078764,419191.91919191915
9572.551865882931,424242.42424242425
9450.199151550718,429292.9292929293
9213.582105219244,434343.43434343435
9582.367446653276,439393.9393939394
9494.951750279448,444444.44444444444
9867.261199107288,449494.9494949495
9393.955316070054,454545.45454545453
9823.557266393656,459595.9595959596
9833.040569736973,464646.4646464646
9901.422813011946,469696.96969696967
9853.478395447424,474747.4747474747
9865.04219607195,479797.97979797976
9931.675663018583,484848.48484848486
9663.35510355078,489898.9898989899
9746.998572899527,494949.49494949495
9859.910615140716,500000.0
