rollout/ep_rew_mean,time/total_timesteps
315.69039993424906,0.0
345.58637210329175,5050.50505050505
436.69671751971254,10101.0101010101
398.73618336887466,15151.515151515152
368.48774979088137,20202.0202020202
427.4129506658227,25252.52525252525
462.1097254144505,30303.030303030304
463.7483019082676,35353.53535353535
471.6213777015919,40404.0404040404
405.96212370847945,45454.545454545456
396.82633329738877,50505.0505050505
412.4982936521095,55555.555555555555
382.0262511376046,60606.06060606061
394.29450440572043,65656.56565656565
506.9449262230726,70707.0707070707
474.84849115344224,75757.57575757576
455.3738539940434,80808.0808080808
581.6194554317742,85858.58585858585
480.4206436554481,90909.09090909091
480.08876301172967,95959.59595959596
619.8199246191743,101010.101010101
545.5429052728971,106060.60606060606
468.1989552857908,111111.11111111111
463.2497047050483,116161.61616161616
516.47733212333,121212.12121212122
503.3497203772965,126262.62626262626
617.304559338915,131313.1313131313
466.870325576283,136363.63636363635
531.6758251936321,141414.1414141414
494.53350681276214,146464.64646464647
457.3512168041208,151515.15151515152
618.8572742754693,156565.65656565657
594.9909183555544,161616.1616161616
586.4473067406922,166666.66666666666
674.9859356601006,171717.1717171717
560.0893861886203,176767.67676767675
637.593703521926,181818.18181818182
552.5082247381577,186868.68686868687
526.4530913649742,191919.19191919192
572.4210185327784,196969.69696969696
533.5327670886829,202020.202020202
622.6161907597012,207070.70707070705
705.3234701043322,212121.21212121213
726.744607528469,217171.71717171717
773.4491652153022,222222.22222222222
605.4203354501699,227272.72727272726
648.2719781654962,232323.2323232323
747.9226033344586,237373.73737373736
680.4550156701027,242424.24242424243
751.0084871286545,247474.74747474748
826.5156971627279,252525.25252525252
873.2363526304001,257575.75757575757
711.9224484615074,262626.2626262626
762.3368926342121,267676.76767676766
719.6274731027336,272727.2727272727
786.2152350081922,277777.77777777775
823.0562837405487,282828.2828282828
884.649141548132,287878.78787878784
907.9180857869112,292929.29292929295
723.5596294452318,297979.797979798
982.3009615571669,303030.30303030304
696.678540605106,308080.8080808081
908.4797295537203,313131.31313131313
858.8067721737028,318181.8181818182
949.8015340422486,323232.3232323232
1050.9436545890546,328282.82828282827
798.6850883157783,333333.3333333333
1009.1689810868269,338383.83838383836
881.7043314109221,343434.3434343434
880.2343758198783,348484.84848484845
1066.9388668945187,353535.3535353535
1241.3607168843378,358585.8585858586
897.0431394053319,363636.36363636365
1113.6066110259794,368686.8686868687
1052.488112386747,373737.37373737374
1093.1926896169182,378787.8787878788
1282.2784336662146,383838.38383838383
1366.8664037271951,388888.8888888889
1272.9886986506938,393939.3939393939
1397.989451109294,398989.89898989897
1124.587085547198,404040.404040404
1522.34628607626,409090.90909090906
1598.6992677300102,414141.4141414141
1079.4324116661644,419191.91919191915
1289.0410168184442,424242.42424242425
1462.6693036245865,429292.9292929293
1326.0255989919308,434343.43434343435
1277.8180512635258,439393.9393939394
1995.2959967982279,444444.44444444444
1616.2310266920624,449494.9494949495
1249.1967028390445,454545.45454545453
2819.741573160287,459595.9595959596
1533.3540088687537,464646.4646464646
983.4044978521404,469696.96969696967
2420.7953983427515,474747.4747474747
2547.3520181530484,479797.97979797976
2645.307448701905,484848.48484848486
1958.4119231993457,489898.9898989899
2240.959774910634,494949.49494949495
2436.402078210291,500000.0
