rollout/ep_rew_mean,time/total_timesteps
184.30708130733174,0.0
300.1950680039773,5025.125628140703
303.5877055060881,10050.251256281406
216.08316522882728,15075.376884422109
341.9875312478951,20100.502512562813
284.42566655771896,25125.628140703517
314.5685892010628,30150.753768844217
650.6059204137215,35175.87939698492
298.40239252051754,40201.005025125625
294.24024643184936,45226.13065326633
346.58208036310947,50251.25628140703
408.43051481335243,55276.38190954774
14.980461220829781,60301.507537688434
324.0128183720127,65326.63316582914
315.4625727781891,70351.75879396984
242.4304793744277,75376.88442211055
253.53522934121006,80402.01005025125
354.29814446775606,85427.13567839195
377.220177920064,90452.26130653266
388.30169173022796,95477.38693467336
466.2742503842768,100502.51256281407
493.10978380696434,105527.63819095476
546.6718939839915,110552.76381909547
1603.40789279043,115577.88944723617
741.097229129399,120603.01507537687
565.3323358245468,125628.14070351758
1113.3862041648356,130653.26633165828
848.6056196799412,135678.391959799
288.85587368169433,140703.51758793968
545.6329215595076,145728.64321608038
1350.24863487223,150753.7688442211
1238.641950952779,155778.8944723618
857.7103368222179,160804.0201005025
1545.708522635967,165829.1457286432
1963.4253637914585,170854.2713567839
259.46667784733285,175879.39698492462
1888.7722112467884,180904.52261306532
2378.6147057829094,185929.648241206
2666.2152466332604,190954.7738693467
2201.8224409654727,195979.89949748744
2044.668523657865,201005.02512562813
2868.294659490171,206030.15075376883
2355.762695962889,211055.27638190953
2584.437170043124,216080.40201005022
2207.925107037824,221105.52763819095
1560.7012881748558,226130.65326633165
1958.428780709489,231155.77889447234
1548.986640835556,236180.90452261304
2129.2470309124305,241206.03015075374
2195.554741607972,246231.15577889446
2146.087823194698,251256.28140703516
3104.2716386182065,256281.40703517586
3193.116257400368,261306.53266331655
3248.647650858027,266331.6582914573
3195.6356685475475,271356.783919598
3226.116449223533,276381.9095477387
3227.049869544523,281407.03517587937
3250.393231567769,286432.16080402007
2283.629709428187,291457.28643216076
3313.4756007918195,296482.41206030146
3270.9745612679417,301507.5376884422
3324.5682421471333,306532.6633165829
3221.604050641413,311557.7889447236
3272.4746938444214,316582.9145728643
3220.422834864818,321608.040201005
3252.48400994052,326633.1658291457
3212.3712456131257,331658.2914572864
3285.153732319094,336683.4170854271
3307.515553957722,341708.5427135678
3300.609624329536,346733.66834170854
3281.7873946217414,351758.79396984924
3271.782004039096,356783.91959798994
256.25692223555876,361809.04522613063
3160.1834968419653,366834.17085427133
3274.9994126251063,371859.296482412
3216.5395670182943,376884.4221105527
3309.4296342621737,381909.5477386934
3098.5485864257043,386934.6733668341
3373.490351743586,391959.7989949749
3379.233284855515,396984.92462311557
3313.19760504671,402010.05025125627
3315.489619365675,407035.17587939696
3233.1580143131864,412060.30150753766
3397.197363313221,417085.42713567836
3490.952698508013,422110.55276381905
3415.419187797518,427135.67839195975
3269.042200420273,432160.80402010045
3303.5025168256557,437185.9296482412
3441.0864969106674,442211.0552763819
3517.706778767367,447236.1809045226
3420.5889301532707,452261.3065326633
2069.045465441986,457286.432160804
3411.250665494937,462311.5577889447
1962.9992960907198,467336.6834170854
3430.5551636093055,472361.8090452261
3504.028860215213,477386.9346733668
3393.1578269028387,482412.0603015075
3368.7758438430005,487437.1859296482
3432.965842568238,492462.3115577889
3409.270382292325,497487.4371859296
3355.757540003878,502512.5628140703
2618.721637101486,507537.688442211
3439.4686469413778,512562.8140703517
3288.6151935580906,517587.9396984924
3432.2366389173176,522613.0653266331
3486.137466922349,527638.1909547738
3445.825056883185,532663.3165829146
3413.288586450165,537688.4422110552
3426.8596457909625,542713.567839196
3394.557292654024,547738.6934673366
3397.806978833784,552763.8190954773
3304.0173878956316,557788.9447236181
3436.4154354161356,562814.0703517587
3390.9091786942154,567839.1959798995
3419.5506504695127,572864.3216080401
3451.2038399309595,577889.4472361809
3449.50185508926,582914.5728643215
3482.3817056478765,587939.6984924623
1615.6534554743462,592964.8241206029
2533.3082133656003,597989.9497487437
3442.1487997812087,603015.0753768844
3380.7743791155967,608040.2010050251
3516.635466912789,613065.3266331658
3370.2659957227092,618090.4522613065
3387.090937359267,623115.5778894472
3422.355697230497,628140.7035175879
58.70767014653425,633165.8291457286
3338.800081338205,638190.9547738692
3401.883248192232,643216.08040201
3485.146609100174,648241.2060301508
3419.7615428074214,653266.3316582914
3408.7304134599594,658291.4572864322
3116.385198835076,663316.5829145728
3530.7988214152565,668341.7085427135
3452.9522300748213,673366.8341708542
3514.737379729867,678391.9597989949
3478.7159071138594,683417.0854271356
3400.2408278555295,688442.2110552763
3330.981775233363,693467.3366834171
2821.4756021745843,698492.4623115577
3481.488112239652,703517.5879396985
3412.94602001049,708542.7135678391
3450.2249934398,713567.8391959799
3442.9354542113933,718592.9648241205
3342.4009307652136,723618.0904522613
3487.38422115507,728643.2160804019
3450.6713881635537,733668.3417085427
3525.538607403278,738693.4673366834
3493.8912964228316,743718.592964824
3463.256334949748,748743.7185929648
2198.4291288013374,753768.8442211054
3392.2915504620623,758793.9698492462
3386.8382561529593,763819.0954773868
3556.3903692100102,768844.2211055276
3453.4629898198464,773869.3467336682
3526.3225796977954,778894.472361809
3431.629333826347,783919.5979899497
3422.750023348059,788944.7236180904
3467.99036836504,793969.8492462311
3511.7581037570285,798994.9748743718
3485.4985643026653,804020.1005025125
3461.5910009193503,809045.2261306532
1592.5669232851642,814070.3517587939
3358.202201508425,819095.4773869346
3386.1243738326366,824120.6030150753
3456.1328093232682,829145.7286432161
3467.8932992748364,834170.8542713567
3437.377015413799,839195.9798994975
3499.49066443342,844221.1055276381
3155.953632187545,849246.2311557789
